 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.6877  0.6575  0.6274  0.5989  0.5730  0.5142  0.4297  0.3148  0.1962  0.0802
 -0.0332 -0.1445 -0.2537 -0.3611 -0.4664 -0.5691 -0.6692 -0.7666 -0.8613 -0.9537
 -1.0441
  0.9414  0.9304  0.9146  0.8939  0.8694  0.8407  0.8095  0.7770  0.7440  0.7112
  0.6786  0.6459  0.6131  0.5806  0.5261  0.4557  0.4210  0.3178  0.2000
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =F150W2
  1.1511  1.1623  1.1700  1.1720  1.1660  1.1487  1.1154  1.0650  1.0065  0.9466
  0.8880  0.8323  0.7796  0.7299  0.6820  0.5680  0.4568  0.3449  0.2303
  1.1249  1.1365  1.1452  1.1492  1.1459  1.1323  1.1040  1.0592  1.0041  0.9451
  0.8862  0.8294  0.7754  0.7242  0.6751  0.5574  0.4438  0.3315  0.2181  0.1026
  1.0955  1.1061  1.1151  1.1207  1.1205  1.1118  1.0901  1.0526  1.0026  0.9460
  0.8876  0.8302  0.7752  0.7228  0.6725  0.5519  0.4358  0.3223  0.2092  0.0951
 -0.0202
  1.0667  1.0747  1.0825  1.0884  1.0906  1.0862  1.0715  1.0422  0.9990  0.9466
  0.8901  0.8329  0.7772  0.7238  0.6724  0.5497  0.4313  0.3162  0.2028  0.0895
 -0.0241 -0.1379
  1.0316  1.0442  1.0498  1.0548  1.0576  1.0560  1.0471  1.0260  0.9909  0.9446
  0.8915  0.8358  0.7801  0.7261  0.6739  0.5494  0.4292  0.3126  0.1984  0.0854
 -0.0271 -0.1393 -0.2506 -0.3603
  0.9958  1.0034  1.0126  1.0192  1.0229  1.0229  1.0175  1.0035  0.9767  0.9377
  0.8899  0.8372  0.7828  0.7287  0.6761  0.5502  0.4287  0.3107  0.1957  0.0827
 -0.0292 -0.1403 -0.2503 -0.3586 -0.4650 -0.5697 -0.6732 -0.7758 -0.8756 -0.9709
  0.9706  0.9603  0.9567  0.9601  0.9686  0.9768  0.9793  0.9727  0.9547  0.9243
  0.8835  0.8356  0.7839  0.7309  0.6784  0.5516  0.4293  0.3102  0.1944  0.0811
 -0.0305 -0.1409 -0.2499 -0.3572 -0.4626 -0.5659 -0.6675 -0.7679 -0.8672 -0.9639
 -1.0565
  0.9661  0.9480  0.9317  0.9196  0.9126  0.9097  0.9094  0.9091  0.9041  0.8900
  0.8642  0.8268  0.7813  0.7315  0.6802  0.5535  0.4306  0.3108  0.1941  0.0805
 -0.0310 -0.1410 -0.2493 -0.3560 -0.4606 -0.5631 -0.6638 -0.7626 -0.8598 -0.9560
 -1.0501
  0.9688  0.9479  0.9264  0.9056  0.8871  0.8718  0.8589  0.8466  0.8328  0.8172
  0.8002  0.7806  0.7551  0.7205  0.6774  0.5546  0.4315  0.3109  0.1934  0.0791
 -0.0326 -0.1425 -0.2506 -0.3569 -0.4612 -0.5633 -0.6634 -0.7614 -0.8576 -0.9522
 -1.0456
  0.9731  0.9526  0.9293  0.9048  0.8800  0.8561  0.8337  0.8126  0.7910  0.7676
  0.7425  0.7173  0.6939  0.6715  0.6467  0.5546  0.4345  0.3138  0.1958  0.0811
 -0.0308 -0.1407 -0.2486 -0.3547 -0.4588 -0.5608 -0.6606 -0.7581 -0.8536 -0.9473
 -1.0392
  0.9747  0.9559  0.9341  0.9089  0.8816  0.8532  0.8247  0.7966  0.7689  0.7409
  0.7117  0.6813  0.6511  0.6225  0.5965  0.5311  0.4357  0.3175  0.1993  0.0842
 -0.0280 -0.1378 -0.2456 -0.3516 -0.4556 -0.5577 -0.6577 -0.7553 -0.8505 -0.9437
 -1.0349
  0.9694  0.9544  0.9351  0.9119  0.8853  0.8557  0.8243  0.7922  0.7599  0.7278
  0.6956  0.6629  0.6297  0.5966  0.5268  0.4841  0.4351  0.3220  0.2039
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =F150W2
  1.1742  1.1856  1.1926  1.1922  1.1819  1.1598  1.1244  1.0748  1.0132  0.9509
  0.8901  0.8319  0.7770  0.7253  0.6764  0.5613  0.4514  0.3414  0.2297
  1.1507  1.1631  1.1718  1.1750  1.1704  1.1543  1.1221  1.0724  1.0135  0.9518
