 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  o   
 -1.4292 -1.4374 -1.4527 -1.4730 -1.4959 -1.5200 -1.5450 -1.5707 -1.5976 -1.6265
 -1.6588
 -2.6109 -2.4651 -2.3345 -2.2192 -2.1184 -2.0318 -1.9583 -1.8961 -1.8428 -1.7958
 -1.7537 -1.7167 -1.6857 -1.6610 -1.6404 -1.5849 -1.5203 -1.4725 -1.4431 -1.4287
 -1.4272 -1.4361 -1.4528 -1.4751 -1.5008 -1.5279 -1.5556 -1.5834 -1.6116 -1.6406
 -1.6713
 -2.5971 -2.4599 -2.3343 -2.2198 -2.1181 -2.0282 -1.9501 -1.8829 -1.8251 -1.7751
 -1.7309 -1.6917 -1.6569 -1.6268 -1.6017 -1.5559 -1.5125 -1.4687 -1.4394 -1.4248
 -1.4230 -1.4320 -1.4496 -1.4736 -1.5019 -1.5322 -1.5632 -1.5940 -1.6246 -1.6551
 -1.6862
 -2.5642 -2.4397 -2.3227 -2.2147 -2.1151 -2.0262 -1.9471 -1.8777 -1.8174 -1.7648
 -1.7187 -1.6780 -1.6418 -1.6096 -1.5683 -1.5069 -1.4991 -1.4629 -1.4337
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  o   
 -3.6105 -3.5631 -3.5103 -3.4377 -3.3258 -3.1424 -2.8810 -2.5719 -2.3224 -2.1369
 -2.0002 -1.8955 -1.8125 -1.7439 -1.6867 -1.5739 -1.4915 -1.4306 -1.3873
 -3.3993 -3.3413 -3.2858 -3.2209 -3.1312 -2.9968 -2.7912 -2.5356 -2.3069 -2.1290
