 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  w   
 -0.0430 -0.0200 -0.0057  0.0024  0.0068  0.0090  0.0092  0.0075  0.0031 -0.0054
 -0.0199
 -2.6698 -2.4236 -2.1975 -1.9953 -1.8199 -1.6706 -1.5414 -1.4238 -1.3084 -1.1872
 -1.0636 -0.9466 -0.8377 -0.7346 -0.6362 -0.4314 -0.2936 -0.1966 -0.1267 -0.0776
 -0.0445 -0.0234 -0.0115 -0.0066 -0.0059 -0.0072 -0.0099 -0.0144 -0.0208 -0.0287
 -0.0381
 -2.7067 -2.4510 -2.2117 -1.9894 -1.7885 -1.6114 -1.4579 -1.3234 -1.2012 -1.0839
 -0.9676 -0.8568 -0.7576 -0.6724 -0.5978 -0.4327 -0.2958 -0.1974 -0.1267 -0.0771
 -0.0442 -0.0244 -0.0146 -0.0124 -0.0153 -0.0206 -0.0272 -0.0341 -0.0416 -0.0505
 -0.0609
 -2.7511 -2.4941 -2.2486 -2.0173 -1.8009 -1.6039 -1.4289 -1.2761 -1.1420 -1.0218
 -0.9106 -0.8064 -0.7104 -0.6256 -0.5529 -0.4130 -0.2954 -0.1973 -0.1256 -0.0752
 -0.0420 -0.0226 -0.0142 -0.0143 -0.0204 -0.0298 -0.0408 -0.0519 -0.0629 -0.0741
 -0.0883
 -2.8010 -2.5385 -2.2918 -2.0569 -1.8328 -1.6250 -1.4354 -1.2672 -1.1204 -0.9924
 -0.8793 -0.7779 -0.6860 -0.6033 -0.5015 -0.3723 -0.2924 -0.1963 -0.1234
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  w   
 -4.0111 -3.9488 -3.9368 -3.9105 -3.8063 -3.5734 -3.1708 -2.6236 -2.1192 -1.6774
 -1.3281 -1.0710 -0.8828 -0.7422 -0.6333 -0.4369 -0.2949 -0.1858 -0.0987
 -3.7555 -3.6734 -3.5979 -3.5246 -3.4306 -3.2738 -2.9962 -2.5433 -2.0723 -1.6508
 -1.3106 -1.0545 -0.8652 -0.7237 -0.6144 -0.4207 -0.2833 -0.1791 -0.0989 -0.0365
 -3.5403 -3.4286 -3.3337 -3.2475 -3.1555 -3.0302 -2.8219 -2.4668 -2.0523 -1.6568
 -1.3236 -1.0641 -0.8687 -0.7219 -0.6093 -0.4138 -0.2783 -0.1770 -0.1005 -0.0418
  0.0031
 -3.3667 -3.2271 -3.1074 -3.0029 -2.9053 -2.7976 -2.6450 -2.3803 -2.0318 -1.6717
 -1.3498 -1.0882 -0.8857 -0.7315 -0.6133 -0.4128 -0.2776 -0.1778 -0.1035 -0.0475
 -0.0048  0.0274
 -3.2272 -3.0647 -2.9225 -2.7977 -2.6861 -2.5797 -2.4592 -2.2713 -1.9939 -1.6785
 -1.3765 -1.1180 -0.9105 -0.7488 -0.6239 -0.4153 -0.2794 -0.1801 -0.1071 -0.0530
 -0.0123  0.0182  0.0406  0.0570
 -3.0360 -2.9157 -2.7660 -2.6289 -2.5039 -2.3880 -2.2744 -2.1374 -1.9292 -1.6664
 -1.3939 -1.1460 -0.9381 -0.7709 -0.6393 -0.4202 -0.2825 -0.1833 -0.1108 -0.0580
 -0.0191  0.0097  0.0304  0.0448  0.0548  0.0605  0.0615  0.0578  0.0493  0.0359
 -2.8469 -2.6898 -2.5625 -2.4482 -2.3362 -2.2229 -2.1076 -1.9881 -1.8356 -1.6285
 -1.3940 -1.1655 -0.9634 -0.7946 -0.6580 -0.4271 -0.2862 -0.1867 -0.1142 -0.0621
 -0.0246  0.0024  0.0212  0.0335  0.0412  0.0453  0.0462  0.0435  0.0366  0.0246
  0.0073
 -2.7393 -2.5322 -2.3588 -2.2199 -2.1078 -2.0117 -1.9201 -1.8214 -1.7042 -1.5527
 -1.3666 -1.1685 -0.9811 -0.8162 -0.6776 -0.4358 -0.2901 -0.1896 -0.1169 -0.0649
 -0.0285 -0.0033  0.0134  0.0233  0.0284  0.0302  0.0294  0.0262  0.0200  0.0098
 -0.0059
 -2.7165 -2.4819 -2.2719 -2.0907 -1.9402 -1.8164 -1.7104 -1.6135 -1.5123 -1.3953
 -1.2594 -1.1133 -0.9648 -0.8216 -0.6911 -0.4444 -0.2928 -0.1910 -0.1179 -0.0659
 -0.0302 -0.0065  0.0080  0.0154  0.0175  0.0162  0.0127  0.0078  0.0009 -0.0091
 -0.0226
 -2.7446 -2.4944 -2.2644 -2.0545 -1.8699 -1.7122 -1.5786 -1.4620 -1.3531 -1.2423
 -1.1224 -0.9990 -0.8816 -0.7736 -0.6737 -0.4549 -0.2975 -0.1930 -0.1190 -0.0664
 -0.0307 -0.0080  0.0048  0.0099  0.0092  0.0045 -0.0025 -0.0107 -0.0199 -0.0299
 -0.0433
 -2.7980 -2.5409 -2.2981 -2.0716 -1.8642 -1.6792 -1.5179 -1.3781 -1.2547 -1.1402
 -1.0276 -0.9146 -0.8057 -0.7067 -0.6201 -0.4452 -0.3021 -0.1947 -0.1191 -0.0656
 -0.0294 -0.0071  0.0044  0.0076  0.0043 -0.0037 -0.0145 -0.0264 -0.0390 -0.0521
 -0.0681
 -2.8626 -2.5996 -2.3509 -2.1145 -1.8944 -1.6915 -1.5088 -1.3476 -1.2066 -1.0821
 -0.9685 -0.8619 -0.7607 -0.6667 -0.5303 -0.4153 -0.3066 -0.1961 -0.1182
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  w   
 -4.1082 -4.0814 -4.0945 -4.0758 -3.9714 -3.7304 -3.3289 -2.7300 -2.2355 -1.7841
 -1.4060 -1.1212 -0.9124 -0.7568 -0.6381 -0.4312 -0.2875 -0.1781 -0.0913
 -3.8587 -3.8109 -3.7766 -3.7430 -3.6838 -3.5479 -3.2451 -2.7205 -2.2162 -1.7677
 -1.3963 -1.1121 -0.9010 -0.7436 -0.6235 -0.4175 -0.2770 -0.1716 -0.0906 -0.0274
