 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -1.8822 -1.6597 -1.4931 -1.3766 -1.3033 -1.2630 -1.2448 -1.2394 -1.2404 -1.2440
 -1.2472
 -7.9855 -7.4202 -6.9068 -6.4546 -6.0641 -5.7322 -5.4518 -5.2149 -5.0138 -4.8408
 -4.6889 -4.5524 -4.4279 -4.3126 -4.1991 -3.8498 -3.3907 -2.9417 -2.5388 -2.1857
 -1.8876 -1.6473 -1.4623 -1.3276 -1.2378 -1.1852 -1.1594 -1.1505 -1.1514 -1.1572
 -1.1648
 -8.3467 -7.8105 -7.2829 -6.7850 -6.3387 -5.9494 -5.6155 -5.3304 -5.0860 -4.8750
 -4.6902 -4.5253 -4.3752 -4.2365 -4.1075 -3.8035 -3.4299 -2.9914 -2.5860 -2.2264
 -1.9158 -1.6581 -1.4535 -1.2986 -1.1894 -1.1202 -1.0823 -1.0660 -1.0634 -1.0689
 -1.0786
 -8.5000 -8.0387 -7.5670 -7.0944 -6.6365 -6.2164 -5.8415 -5.5127 -5.2259 -4.9754
 -4.7549 -4.5590 -4.3822 -4.2204 -4.0138 -3.7057 -3.4790 -3.0610 -2.6532
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  u   
 -7.9904 -7.9714 -7.9374 -7.8840 -7.8040 -7.6815 -7.4570 -7.1054 -6.7257 -6.3862
 -6.1259 -5.9276 -5.7660 -5.6188 -5.4736 -5.0585 -4.5603 -4.0348 -3.5438
 -7.4686 -7.4521 -7.4234 -7.3790 -7.3138 -7.2153 -7.0461 -6.7811 -6.4707 -6.1765
